# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1872
#@/user_id	f1c9d795-0135-4a3d-9b4c-a295cde06be4
a 	啊	c=14 d=1.37392 t=1745
chai chu lai 	拆出來	c=1 d=1 t=743
chai yi xia 	拆一下	c=1 d=1 t=749
chan pin 	產品	c=4 d=2.53373 t=471
chan sheng 	產生	c=3 d=2.51926 t=289
chang 	腸	c=1 d=1 t=1719
chang bin 	常彬	c=1 d=1 t=1748
chang bin 	常斌	c=1 d=1 t=1604
chang jing 	場景	c=1 d=1 t=512
chang qi 	長期	c=0 d=0.1 t=1205
chang qi zhi ding gui hua 	長期指定規劃	c=1 d=1 t=1206
chang shi jian 	長時間	c=0 d=0.1 t=1258
chao 	鈔	c=0 d=0.1 t=1192
chao ji 	超級	c=0 d=0.1 t=33
chao ji guan li yuan 	超級管理員	c=1 d=1 t=34
chao neng li 	鈔能力	c=1 d=1 t=1193
chao shan 	潮汕	c=0 d=0.1 t=673
chao shan huo guo 	潮汕火鍋	c=1 d=1 t=674
cheng gong 	成功	c=0 d=0.106754 t=618
cheng xu 	程序	c=2 d=1.22537 t=1139
cheng yuan 	成員	c=0 d=0.1 t=137
chi 	吃	c=2 d=0.49914 t=1710
chi de 	喫得	c=1 d=1 t=1852
chi fan 	喫飯	c=0 d=0.1 t=1440
chi tu 	吃土	c=0 d=0.1 t=598
chi xu ji cheng 	持续集成	c=2 d=1.94176 t=1105
chong fu 	重複	c=11 d=4.46872 t=1861
chong fu da ti 	重複答題	c=2 d=1.90484 t=1702
chong fu de 	重複的	c=2 d=1.99005 t=1709
chong fu shu ju 	重複數據	c=1 d=1 t=1735
chong qi 	重啓	c=1 d=1.22652 t=1266
chong qi fu wu qi 	重啓服務器	c=1 d=1 t=1265
chong qi wan le 	重啓完了	c=1 d=1 t=1267
chou chou 	臭臭	c=0 d=0.1 t=1568
chou hen 	仇恨	c=0 d=0.1 t=1304
chu 	出	c=0 d=0.1 t=1646
chu lai 	出來	c=0 d=0.1 t=992
chu le 	除了	c=1 d=1 t=888
chu li 	處理	c=1 d=0.121455 t=993
chu li zhi fu jie guo 	處理支付結果	c=1 d=1 t=175
chu li zhong 	處理中	c=1 d=1 t=335
chu qu 	出去	c=1 d=1.00699 t=1850
chu yi ge fang an 	出一個方案	c=1 d=1 t=1647
chuan chuan 	串串	c=1 d=1 t=1713
chuang jian 	創建	c=1 d=1.04211 t=398
chuang jian shi jian 	創建時間	c=1 d=1 t=226
ci shu 	次數	c=1 d=1 t=1657
cong 	從	c=2 d=1.00502 t=1800
cong kai shi 	從開始	c=0 d=0.1 t=1193
cong kai shi jian 	從開始建	c=1 d=1 t=1194
cou 	湊	c=2 d=1.44709 t=881
cou cou 	湊湊	c=1 d=1 t=724
cou zi shu 	湊字數	c=1 d=1 t=957
cun zai 	存在	c=1 d=1 t=631
cuo hang le 	錯行了	c=1 d=1 t=1524
da 	大	c=1 d=1 t=1405
da 	答	c=0 d=0.1 t=1686
da de zhen kuai 	答的真快	c=1 d=1 t=1687
da jia 	大家	c=3 d=1.30914 t=1584
da jia dou neng zai xian kan 	大家都能在線看	c=1 d=1 t=641
da jia dou shi 	大家都是	c=1 d=1 t=548
da jiao 	大腳	c=0 d=0.1 t=695
da jiao shen 	大腳嬸	c=1 d=1 t=696
da ka 	打卡	c=0 d=0.1 t=1531
da kai 	打開	c=1 d=1.08187 t=771
da shu ju 	大数据	c=3 d=1.5592 t=421
da ti 	答題	c=6 d=2.64332 t=1856
da yu 	大於	c=1 d=1 t=1473
dai dai 	呆呆	c=2 d=1.99005 t=10
dai dai de 	呆呆的	c=1 d=1 t=9
dai le 	帶了	c=1 d=1 t=1591
dai ma 	代碼	c=5 d=1.41356 t=1291
dai su 	怠速	c=0 d=0.1 t=1516
dan shi 	但是	c=0 d=0.0985112 t=1872
dan shi wo neng xie chu lai la 	但是我能寫出來啦	c=1 d=0.99005 t=1872
dan wu 	耽誤	c=0 d=0.1 t=1206
dang 	當	c=1 d=1 t=746
dang qian 	當前	c=1 d=1 t=1863
dang shang 	當上	c=0 d=0.1 t=1225
dang shang lian 	當上臉	c=1 d=1 t=1226
dao 	到	c=3 d=1.48388 t=1195
dao 	導	c=1 d=1.09608 t=1000
dao bu chu lai de hua 	導不出來的話	c=1 d=1 t=993
dao chu 	導出	c=1 d=1 t=1191
dao li 	道理	c=0 d=0.0980199 t=1872
dao ru 	導入	c=0 d=0.1 t=1033
dao xiang cun 	稻香村	c=1 d=1 t=579
dao zhe 	到這	c=0 d=0.1 t=195
dao zui hou 	到最後	c=1 d=1 t=1698
de 	地	c=0 d=0.1 t=1331
de 	得	c=4 d=2.26936 t=1439
de 	的	c=50 d=7.21353 t=1723
de hua 	的話	c=0 d=0.204464 t=1437
de jie kou 	的接口	c=1 d=1 t=610
de shi hou 	的時候	c=1 d=0.124355 t=1127
deng 	燈	c=0 d=0.1 t=1513
deng 	等	c=0 d=0.134819 t=1218
deng bu qi 	等不起	c=1 d=1 t=1219
deng dai 	等待	c=1 d=1 t=339
deng deng 	等等	c=3 d=1.96979 t=1559
deng lu 	登錄	c=1 d=1 t=1190
deng ni 	等你	c=1 d=1 t=379
deng wo mai le 	等我買了	c=1 d=1 t=1008
deng zhe ba 	等着吧	c=1 d=1 t=488
di san fang 	第三方	c=2 d=1.91393 t=795
di zhi 	地址	c=1 d=0.823248 t=655
dian 	點	c=0 d=0.100039 t=1694
dian ban 	點半	c=1 d=1 t=1483
dian nao shang 	電腦上	c=1 d=1 t=823
dian shi 	電視	c=1 d=1 t=1010
dian ying 	電影	c=1 d=1 t=1214
diao yan 	調研	c=1 d=1 t=653
diao yong 	調用	c=1 d=1 t=457
ding dan 	訂單	c=21 d=12.5667 t=465
ding dan bian hao 	訂單編號	c=1 d=1 t=466
ding dan hao 	訂單號	c=1 d=1 t=378
ding dan xiang qing 	訂單詳情	c=1 d=1 t=235
ding hao 	定好	c=0 d=0.100737 t=1481
ding hao de 	定好的	c=1 d=1 t=500
ding hao le 	定好了	c=1 d=1 t=1482
ding le 	定了	c=1 d=1 t=1818
ding wei 	定位	c=0 d=0.1 t=1528
dong 	動	c=0 d=0.1 t=1516
dong dai su 	動怠速	c=1 d=1 t=1517
dong shou 	動手	c=1 d=1 t=730
dong tai 	動態	c=1 d=1 t=1632
dong xi 	東西	c=1 d=0.30089 t=1215
dong zhe 	凍着	c=1 d=1 t=129
dou 	都	c=3 d=0.269835 t=1812
dou bu hao 	都不好	c=0 d=0.1 t=1548
dou bu hao gao 	都不好搞	c=1 d=1 t=1549
dou bu xu yao 	都不需要	c=1 d=1 t=716
dou bu zhi dao 	都不知道	c=1 d=1 t=1270
dou hao 	都好	c=0 d=0.1 t=1510
dou mei xiang ming bai 	都沒想明白	c=1 d=1 t=1813
dou mei you 	都沒有	c=2 d=1.17817 t=1260
dou neng 	都能	c=0 d=0.163445 t=731
dou shi 	都是	c=3 d=1.13996 t=1553
dou ting 	都聽	c=0 d=0.1 t=1236
dou ting niu bi 	都聽牛逼	c=1 d=1 t=1237
dou wang ji le 	都忘記了	c=1 d=1 t=504
dou zuo 	都做	c=1 d=1 t=526
duan 	斷	c=1 d=1 t=409
duan 	端	c=0 d=0.1 t=925
duan le 	斷了	c=1 d=1 t=649
duan xin 	短信	c=1 d=1 t=1752
dui 	對	c=1 d=1 t=1287
dui jie 	對接	c=1 d=1 t=1050
dui yu 	對於	c=1 d=1 t=1665
duo 	多	c=0 d=0.1 t=583
duo kuai 	多快	c=1 d=1 t=1433
duo shao 	多少	c=0 d=0.1 t=1359
duo shao xiang guan 	多少相關	c=1 d=1 t=1360
e le 	餓了	c=0 d=0.1 t=1847
en 	嗯	c=12 d=2.04555 t=1854
er qie 	而且	c=1 d=1 t=505
er wei ma 	二維碼	c=2 d=1.86677 t=186
fa 	發	c=0 d=0.137158 t=1318
fa bu 	發佈	c=0 d=0.1 t=843
fa guo lai 	發過來	c=0 d=0.1 t=642
fa guo lai de shi 	發過來的是	c=1 d=1 t=643
fa le 	發了	c=2 d=1.28794 t=1855
fa wo de 	發我的	c=1 d=1 t=922
fa wo kan kan 	發我看看	c=1 d=1 t=1121
fa xian 	發現	c=2 d=1.3362 t=1499
fan hui 	返回	c=3 d=2.22619 t=375
fan hui zhi 	返回值	c=3 d=2.21112 t=544
fan zheng 	反正	c=3 d=2.98645 t=950
fan zheng wo xi huan 	反正我喜歡	c=1 d=1 t=95
fang 	仿	c=1 d=1 t=328
fang 	放	c=0 d=0.1 t=1628
fang an 	方案	c=0 d=0.1 t=1646
fang bian 	方便	c=0 d=0.100383 t=1179
fang bian ma 	方便嗎	c=1 d=1 t=67
fang fa 	方法	c=1 d=1 t=1013
fang nian jia 	放年假	c=1 d=1 t=1629
fang qi le 	放棄了	c=1 d=1 t=1843
fang shi 	方式	c=3 d=2.3204 t=541
fang wen 	訪問	c=1 d=1 t=546
fang zi 	房子	c=1 d=1 t=1323
fei chang 	非常	c=0 d=0.1 t=781
fei chang jian dan 	非常簡單	c=1 d=1 t=782
fei shuo 	非說	c=1 d=1 t=1768
fei yao 	非要	c=0 d=0.1 t=1485
fei yao chi 	非要吃	c=1 d=1 t=1486
fei yong 	費用	c=1 d=1 t=1456
fen 	份	c=1 d=1 t=853
fen ge 	分割	c=1 d=1 t=411
fen li 	分離	c=0 d=0.1 t=925
fen pei 	分配	c=0 d=0.1 t=11
feng sheng 	豐盛	c=0 d=0.1 t=581
fu kua 	浮誇	c=1 d=1 t=702
fu shu 	複數	c=1 d=1 t=575
fu wu 	服務	c=7 d=0.311172 t=1119
fu wu bian geng 	服務變更	c=1 d=1 t=183
fu wu gou mai 	服務購買	c=2 d=1.19109 t=481
fu wu qi 	服務器	c=3 d=2.77194 t=1288
fu wu qi dong 	服務啓動	c=1 d=1 t=1115
fu wu xin xi 	服務信息	c=1 d=1 t=250
fu wu zhuang tai 	服務狀態	c=1 d=1 t=181
fu zhi 	複製	c=4 d=2.28749 t=952
gai 	改	c=0 d=0.1 t=1650
gai cheng 	改成	c=2 d=1.72253 t=1153
gai dong 	改動	c=1 d=1 t=1641
gai gai 	改改	c=1 d=1 t=1097
gai hai shi bu gai 	改還是不改	c=1 d=1 t=1651
gai le 	改了	c=1 d=1 t=1143
gan ga 	尷尬	c=0 d=0.1 t=514
gan jue 	感覺	c=1 d=1 t=862
gan wan 	幹完	c=0 d=0.1 t=1325
gan wan huo ma 	幹完活嗎	c=1 d=1 t=1326
gan zhe 	趕着	c=0 d=0.1 t=1433
gan zhe qu pai xi 	趕着去拍戲	c=1 d=1 t=1434
gang gang 	剛剛	c=1 d=1 t=803
gao 	搞	c=1 d=0.614274 t=1548
gao chu 	搞出	c=1 d=1 t=1623
gao ding 	搞定	c=0 d=0.1 t=943
gao gao 	搞搞	c=1 d=1 t=946
gao ji 	高級	c=1 d=1.07634 t=1301
gao ji yun wei gong cheng shi 	高級運維工程師	c=1 d=1 t=1248
gao le 	搞了	c=0 d=0.1 t=961
gao su 	告訴	c=0 d=0.1 t=1785
gao su ke hu 	告訴客戶	c=1 d=1 t=1786
gao su ni 	告訴你	c=2 d=1.40657 t=1012
gao su ta 	告訴她	c=1 d=1 t=1763
gao wan 	搞完	c=1 d=1 t=1200
ge 	個	c=1 d=1.00005 t=1716
ge men 	哥們	c=2 d=1.7035 t=1306
ge xi yan 	葛晞研	c=6 d=5.42482 t=122
ge xing hua 	個性化	c=0 d=0.1 t=1065
ge xing hua xu qiu le 	個性化需求了	c=1 d=1 t=1066
ge yue 	個月	c=2 d=1.94176 t=416
ge zhong 	各種	c=2 d=1.00012 t=1835
ge zi 	個字	c=1 d=1 t=559
gei 	給	c=2 d=1.35496 t=1210
gei ni 	給你	c=4 d=0.232314 t=1450
gei wo 	給我	c=5 d=1.43228 t=1739
gei wo fen pei ge quan xian ba 	給我分配個權限吧	c=1 d=1 t=12
gei wo kan kan 	給我看看	c=1 d=1 t=1112
gei zi ji 	給自己	c=1 d=1 t=1814
gen 	跟	c=5 d=2.64677 t=1824
gen ni 	跟你	c=0 d=0.101584 t=877
gen ni men 	跟你們	c=1 d=1 t=1172
gen ni shuo le 	跟你說了	c=1 d=1 t=805
gen ni shuo shuo 	跟你說說	c=1 d=1 t=865
gen ren jia 	跟人家	c=1 d=1 t=1481
gen yi qian 	跟以前	c=1 d=1 t=646
geng xin 	更新	c=2 d=1.46304 t=1859
geng xin ding dan zhuang tai 	更新訂單狀態	c=1 d=1 t=176
gong cheng 	工程	c=0 d=0.1 t=1157
gong cheng shi 	工程師	c=1 d=1.07558 t=1303
gong neng 	功能	c=2 d=1.05287 t=1625
gong shi 	公式	c=1 d=1 t=1357
gong shi 	公示	c=1 d=1 t=1356
gong si 	公司	c=3 d=1.04466 t=1244
gong si di zhi 	公司地址	c=1 d=1 t=656
gong si you chou 	公司有仇	c=1 d=1 t=1245
gong si zi ji 	公司自己	c=1 d=1 t=787
gong xiang 	共享	c=0 d=0.1 t=63
gong zuo 	工作	c=1 d=1.01973 t=1165
gong zuo di zhi 	工作地址	c=1 d=1 t=623
gong zuo liang 	工作量	c=1 d=1 t=1314
gong zuo nian xian 	工作年限	c=3 d=2.95101 t=627
gong zuo shi jian 	工作時間	c=1 d=1 t=616
gou le 	夠了	c=0 d=0.1 t=898
gou mai 	購買	c=11 d=5.37331 t=476
gou mai lei xing 	購買類型	c=1 d=1 t=467
gou mai xiang qing 	購買詳情	c=1 d=1 t=461
guan le 	關了	c=0 d=0.1 t=1513
guan le deng 	關了燈	c=1 d=1 t=1514
guan li 	管理	c=1 d=0.10419 t=1179
guan li qi lai ye fang bian 	管理起來也方便	c=1 d=1 t=1180
guan li yuan 	管理員	c=0 d=0.1 t=33
guan lian 	關聯	c=0 d=0.1 t=251
guan lian ding dan 	關聯訂單	c=1 d=1 t=252
guan xin 	關心	c=0 d=0.1 t=1073
guan xin ren le 	關心人了	c=1 d=1 t=1074
guan zhu 	關注	c=1 d=1.00009 t=1424
guan zhu guo le 	關注過了	c=1 d=1 t=18
gui hua 	規劃	c=1 d=1.10905 t=1215
gui hua de dong xi 	規劃的東西	c=1 d=1 t=1216
gui nv 	閨女	c=1 d=1 t=1477
gun dong tiao 	滾動條	c=0 d=0.1 t=1424
gun dong tiao de yang shi 	滾動條的樣式	c=1 d=1 t=1425
guo 	過	c=0 d=0.1 t=787
guo guo 	果果	c=2 d=1.25538 t=1345
guo lai 	過來	c=0 d=0.1 t=843
guo le 	過了	c=0 d=0.1 t=17
guo lv diao 	過濾掉	c=1 d=1 t=1662
ha ha 	哈哈	c=1 d=1 t=970
ha ha ha 	哈哈哈	c=1 d=1 t=1224
hai 	海	c=0 d=0.1 t=116
hai 	還	c=0 d=0.1 t=1440
hai bu chi fan ma 	還不喫飯嗎	c=1 d=1 t=1441
hai shi 	還是	c=6 d=1.5269 t=1809
hai shi yi ge 	還是一個	c=1 d=1 t=925
hai xu yao 	還需要	c=1 d=1 t=890
hai yao 	還要	c=1 d=1 t=1488
hai you 	還有	c=3 d=1.97983 t=1229
hai you yi ge yue 	還有一個月	c=1 d=1 t=568
hai you zheng chang dian de 	還有正常點的	c=1 d=1 t=124
hang 	行	c=1 d=0.13526 t=1526
hao 	好	c=3 d=1.01861 t=1643
hao a 	好啊	c=0 d=0.1 t=5
hao ban 	好辦	c=1 d=1 t=593
hao bu hao 	好不好	c=1 d=1 t=1872
hao chang shi jian 	好長時間	c=1 d=1 t=1259
hao chi 	好喫	c=0 d=0.108629 t=1070
hao ji ci 	好幾次	c=0 d=0.1 t=496
hao ji ci le 	好幾次了	c=1 d=1 t=497
hao jie 	號街	c=2 d=1.99501 t=661
hao kan 	好看	c=1 d=1 t=1212
hao le 	好了	c=0 d=0.1 t=1216
hao ting 	好聽	c=1 d=0.23068 t=1029
hao ting de hua 	好聽的話	c=1 d=1 t=1030
hao xiang 	好像	c=2 d=1.14957 t=1502
he 	和	c=3 d=1.32291 t=1747
he de 	喝的	c=0 d=0.1 t=583
he le 	喝了	c=1 d=1 t=1404
he shu ju ku 	和數據庫	c=1 d=1 t=1085
he shui 	喝水	c=1 d=1.00207 t=1359
he shui he de duo 	喝水喝的多	c=1 d=1 t=584
he wan 	喝完	c=0 d=0.1 t=576
he wan le ma 	喝完了嗎	c=1 d=1 t=577
hei se 	黑色	c=0 d=0.1 t=96
hei se de ni 	黑色的你	c=1 d=1 t=97
hen 	很	c=0 d=0.1 t=514
hen bao li 	很暴力	c=1 d=1 t=1239
hen duo 	很多	c=1 d=1 t=1550
hen fu za 	很複雜	c=1 d=1 t=1829
hen huang 	很黃	c=1 d=1 t=1223
hen kuai 	很快	c=0 d=0.1 t=568
hen kuai jiu sheng le 	很快就生了	c=1 d=1 t=569
hen nan 	很難	c=0 d=0.1 t=1271
hen nan fa xian 	很難發現	c=1 d=1 t=1272
hen qing chu 	很清楚	c=1 d=1 t=506
hen shao 	很少	c=1 d=1 t=1560
hong bao 	紅包	c=1 d=1 t=1468
hou 	後	c=4 d=1.54603 t=1789
hou lai 	後來	c=2 d=1.0599 t=1262
hou mian 	後面	c=1 d=1 t=1363
hua 	花	c=0 d=0.1 t=1435
hua 	話	c=1 d=1 t=1652
hua qian 	花錢	c=2 d=1.73712 t=931
huan hang 	換行	c=2 d=1.08883 t=1525
huan jing 	環境	c=0 d=0.1 t=1100
huan jing bian liang 	環境變量	c=1 d=1 t=1131
huang fei 	荒廢	c=0 d=0.1 t=1353
huang fei le 	荒廢了	c=1 d=1 t=1354
hui 	會	c=2 d=1.62307 t=1581
hui bu hui 	會不會	c=0 d=0.0980199 t=1872
hui diao 	回調	c=1 d=1 t=177
hui jia 	回家	c=0 d=0.100625 t=1586
hui jia le ma 	回家了嗎	c=1 d=1 t=572
hui jia yi ci 	回家一次	c=1 d=1 t=1587
hui lai 	回來	c=0 d=0.1 t=1030
hui shou 	回收	c=1 d=1 t=1184
hui tou 	回頭	c=1 d=1 t=1094
hui wan 	會玩	c=1 d=1 t=1445
hui yi 	會議	c=2 d=1.99095 t=70
hui yi ba 	會議吧	c=1 d=1 t=61
huo 	或	c=3 d=1.01819 t=1090
huo 	活	c=0 d=0.1 t=1325
huo dong 	活動	c=0 d=0.1 t=1412
huo guo 	火鍋	c=0 d=0.1 t=673
huo qu 	獲取	c=3 d=2.58755 t=448
huo zhe 	或者	c=3 d=1.98039 t=1718
ji 	及	c=0 d=0.1 t=647
ji ba 	雞巴	c=0 d=0.1 t=722
ji ben 	基本	c=0 d=0.1 t=767
ji ci 	幾次	c=0 d=0.1 t=783
ji ci tui 	幾次腿	c=1 d=1 t=784
ji de 	記得	c=2 d=1.06559 t=1225
ji de hui lai zan wo 	記得回來讚我	c=1 d=1 t=1031
ji ge 	幾個	c=0 d=0.129083 t=1015
ji gou 	機構	c=0 d=0.1 t=1520
ji gou ming cheng 	機構名稱	c=2 d=1.9802 t=1525
ji ju 	幾句	c=0 d=0.1 t=1315
ji lu 	記錄	c=1 d=1 t=285
ji lu biao 	記錄表	c=1 d=1 t=291
ji nian 	幾年	c=1 d=1 t=1282
ji qi 	機器	c=0 d=0.1 t=1077
ji ran 	既然	c=0 d=0.1 t=1328
ji ran shuo le 	既然說了	c=1 d=1 t=1329
ji shi ben 	記事本	c=1 d=1.08228 t=770
ji shi ben dou neng da kai 	記事本都能打開	c=1 d=1 t=732
ji shu 	技術	c=2 d=1.31164 t=964
ji shu han liang 	技術含量	c=0 d=0.1 t=807
ji suan 	計算	c=1 d=1 t=1355
ji tang 	雞湯	c=0 d=0.1 t=978
ji tang yu lu 	雞湯語錄	c=1 d=1 t=979
ji tui 	雞腿	c=1 d=1 t=1717
ji yi shang 	及以上	c=1 d=1 t=648
ji zhong 	幾種	c=1 d=1 t=216
ji zhong 	集中	c=1 d=1 t=215
jia ban jia dian 	加班加點	c=1 d=1 t=1622
jia ge 	價格	c=0 d=0.1 t=231
jia le 	加了	c=0 d=0.1 t=440
jia li 	家裏	c=1 d=1 t=1409
jia li de 	家裏的	c=1 d=1 t=588
jia ru 	假如	c=2 d=1.54607 t=484
jia yuan 	家園	c=0 d=0.1 t=116
jian 	建	c=0 d=0.1 t=1193
jian ce chu lai 	檢測出來	c=2 d=1.99066 t=1538
jian ce chu lai mei 	檢測出來沒	c=1 d=1 t=519
jian cha 	檢查	c=0 d=0.1 t=527
jian cha ba 	檢查吧	c=1 d=1 t=528
jian dan 	簡單	c=1 d=0.9614 t=894
jian dan ai 	简单爱	c=1 d=1 t=751
jian wang 	健忘	c=1 d=1 t=495
jian yi 	建一	c=0 d=0.1 t=68
jian yi 	建議	c=2 d=1.11884 t=1628
jiang 	將	c=2 d=1.49594 t=1856
jiang lai 	將來	c=0 d=0.1 t=1775
jiao 	交	c=1 d=1 t=1375
jiao 	叫	c=1 d=1 t=762
jie gou 	結構	c=0 d=0.1 t=199
jie guo 	結果	c=1 d=1.0194 t=502
jie jing 	捷徑	c=1 d=1 t=985
jie jue 	解決	c=1 d=1 t=935
jie kou 	接口	c=2 d=1.12115 t=609
jie kou shu ju 	接口數據	c=1 d=1 t=387
jie kou xin xi 	接口信息	c=1 d=1 t=445
jie shou 	接受	c=1 d=0.171719 t=1588
jie tu 	截圖	c=1 d=1 t=1111
jie ya 	解壓	c=0 d=0.1 t=753
jie ya kai 	解壓開	c=2 d=1.75578 t=810
jie zhi shi jian 	截止時間	c=1 d=0.922835 t=300
jin e 	金額	c=2 d=0.73502 t=467
jin qi 	近期	c=0 d=0.1 t=666
jin qi de 	近期的	c=1 d=1 t=667
jin tian 	今天	c=1 d=1 t=525
jin xian 	僅限	c=0 d=0.1 t=273
jin xian zu hu nei 	僅限租戶內	c=1 d=1 t=274
jing ban ren 	經辦人	c=1 d=1 t=1497
jing li guo 	經歷過	c=0 d=0.1 t=1239
jing sheng jian xiao 	惊声尖笑	c=1 d=1 t=1215
